,V5,V2,symbol
0,-0.2,0.005,
1,-0.2,0.005,
2,-0.2,0.005,
3,-0.2,0.005,
4,-0.2,0.005,
5,-0.2,0.005,
6,-0.2,0.005,
7,-0.2,0.005,
8,-0.19,0.005,
9,-0.175,0.005,
10,-0.19,0.005,
11,-0.205,-0.005,
12,-0.21,-0.005,
13,-0.2,0.01,
14,-0.195,-0.01,
15,-0.21,-0.01,
16,-0.23,-0.02,
17,-0.235,-0.035,
18,-0.245,-0.025,
19,-0.235,-0.01,
20,-0.23,-0.03,
21,-0.23,-0.04,
22,-0.245,-0.05,
23,-0.27,-0.06,
24,-0.26,-0.045,
25,-0.24,-0.035,
26,-0.225,-0.055,
27,-0.22,-0.065,
28,-0.225,-0.075,
29,-0.225,-0.095,
30,-0.225,-0.085,
31,-0.225,-0.075,
32,-0.22,-0.085,
33,-0.235,-0.09,
34,-0.26,-0.1,
35,-0.26,-0.12,
36,-0.26,-0.105,
37,-0.26,-0.1,
38,-0.255,-0.105,
39,-0.255,-0.125,
40,-0.26,-0.135,
41,-0.26,-0.145,
42,-0.265,-0.13,
43,-0.25,-0.11,
44,-0.24,-0.13,
45,-0.255,-0.14,
46,-0.265,-0.15,
47,-0.28,-0.15,
48,-0.26,-0.155,
49,-0.255,-0.14,
50,-0.25,-0.15,
51,-0.245,-0.15,
52,-0.25,-0.175,
53,-0.255,-0.17,
54,-0.245,-0.155,
55,-0.24,-0.155,
56,-0.25,-0.155,
57,-0.245,-0.17,
58,-0.265,-0.18,
59,-0.27,-0.175,
60,-0.25,-0.165,
61,-0.25,-0.15,
62,-0.245,-0.16,
63,-0.25,-0.16,
64,-0.255,-0.15,
65,-0.255,-0.15,
66,-0.24,-0.14,
67,-0.245,-0.125,
68,-0.265,-0.125,+
69,-0.26,-0.13,
70,-0.27,-0.125,
71,-0.28,-0.135,
72,-0.28,-0.125,
73,-0.265,-0.115,
74,-0.265,-0.125,
75,-0.26,-0.135,
76,-0.265,-0.135,
77,-0.255,-0.14,
78,-0.245,-0.135,
79,-0.23,-0.13,
80,-0.23,-0.145,
81,-0.235,-0.155,
82,-0.23,-0.165,
83,-0.235,-0.185,
84,-0.215,-0.195,
85,-0.19,-0.18,
86,-0.175,-0.19,
87,-0.175,-0.2,
88,-0.195,-0.21,
89,-0.225,-0.22,
90,-0.225,-0.205,
91,-0.225,-0.215,
92,-0.23,-0.225,
93,-0.215,-0.235,
94,-0.225,-0.255,
95,-0.225,-0.25,
96,-0.205,-0.245,
97,-0.165,-0.225,
98,-0.135,-0.23,
99,-0.135,-0.22,
100,-0.145,-0.22,
101,-0.165,-0.23,
102,-0.17,-0.21,
103,-0.17,-0.205,
104,-0.185,-0.215,
105,-0.205,-0.195,
106,-0.225,-0.16,
107,-0.23,-0.08,
108,-0.195,0.145,
109,-0.155,0.53,
110,-0.12,0.805,
111,-0.07,0.735,
112,-0.005,0.485,
113,0.215,0.285,
114,0.575,0.24,
115,0.845,0.22,
116,0.8,0.155,
117,0.525,0.1,
118,0.275,0.035,
119,0.18,-0.065,
120,0.195,-0.155,
121,0.23,-0.27,
122,0.255,-0.415,
123,0.28,-0.595,
124,0.285,-0.765,
125,0.3,-0.945,
126,0.32,-1.06,
127,0.34,-1.155,
128,0.355,-1.24,
129,0.345,-1.345,
130,0.33,-1.455,
131,0.32,-1.605,
