,V5,MLII,symbol
0,-0.045,0.015,
1,-0.045,0.015,
2,-0.045,0.015,
3,-0.045,0.015,
4,-0.045,0.015,
5,-0.045,0.015,
6,-0.045,0.015,
7,-0.045,0.015,
8,-0.045,0.015,
9,-0.045,0.04,
10,-0.01,0.065,
11,0.0,0.07,
12,-0.015,0.075,
13,-0.025,0.08,
14,-0.01,0.105,
15,0.0,0.135,
16,0.02,0.16,
17,0.02,0.16,
18,0.01,0.165,
19,-0.005,0.17,
20,0.0,0.205,
21,-0.005,0.21,+
22,0.0,0.225,
23,0.005,0.22,
24,-0.01,0.21,
25,-0.04,0.185,
26,-0.045,0.19,
27,-0.055,0.195,
28,-0.045,0.195,
29,-0.065,0.18,
30,-0.075,0.145,
31,-0.1,0.125,
32,-0.11,0.115,
33,-0.125,0.13,
34,-0.105,0.125,
35,-0.13,0.1,
36,-0.145,0.075,
37,-0.155,0.055,
38,-0.175,0.06,
39,-0.165,0.06,
40,-0.165,0.06,
41,-0.175,0.05,
42,-0.18,0.02,
43,-0.2,0.025,
44,-0.225,0.02,
45,-0.21,0.025,
46,-0.205,0.04,
47,-0.225,0.02,
48,-0.22,0.015,
49,-0.235,-0.005,
50,-0.235,0.0,
51,-0.225,0.015,
52,-0.23,0.025,
53,-0.215,0.02,
54,-0.215,0.015,
55,-0.255,-0.005,
56,-0.245,0.0,
57,-0.24,0.005,
58,-0.24,0.015,
59,-0.235,0.005,
60,-0.245,0.0,
61,-0.26,-0.005,
62,-0.245,0.0,
63,-0.245,0.01,
64,-0.23,0.02,
65,-0.23,-0.01,
66,-0.23,-0.02,
67,-0.245,-0.02,
68,-0.25,-0.03,
69,-0.235,0.0,
70,-0.23,0.01,
71,-0.235,-0.01,
72,-0.235,-0.02,
73,-0.26,-0.035,
74,-0.27,-0.025,
75,-0.255,-0.025,
76,-0.23,-0.005,
77,-0.235,-0.01,
78,-0.23,-0.025,
79,-0.255,-0.04,
80,-0.255,-0.03,
81,-0.255,-0.015,
82,-0.24,-0.025,
83,-0.235,-0.02,
84,-0.25,-0.04,
85,-0.26,-0.04,
86,-0.26,-0.035,
87,-0.26,-0.025,
88,-0.24,-0.015,
89,-0.225,-0.03,
90,-0.235,-0.04,
91,-0.255,-0.045,
92,-0.255,-0.025,
93,-0.245,-0.02,
94,-0.225,-0.005,
95,-0.235,-0.01,
96,-0.235,-0.025,
97,-0.25,-0.035,
98,-0.26,-0.02,
99,-0.24,-0.005,
100,-0.215,-0.005,
101,-0.22,-0.01,
102,-0.235,-0.015,
103,-0.245,-0.02,
104,-0.235,-0.015,
105,-0.235,0.0,
106,-0.23,0.005,
107,-0.225,-0.005,
108,-0.23,-0.015,
109,-0.245,-0.015,
110,-0.255,-0.015,
111,-0.25,0.01,
112,-0.225,0.005,
113,-0.23,0.0,
114,-0.245,-0.025,
115,-0.265,-0.02,
116,-0.255,-0.015,
117,-0.25,0.0,
118,-0.245,0.005,
119,-0.23,0.0,
120,-0.24,-0.015,
121,-0.27,-0.02,
122,-0.27,-0.03,
123,-0.25,0.0,
124,-0.24,0.01,
125,-0.245,0.0,
126,-0.255,-0.015,
127,-0.275,-0.02,
128,-0.27,-0.025,
129,-0.285,-0.01,
130,-0.265,0.005,
131,-0.255,0.0,
132,-0.27,-0.015,
133,-0.285,-0.02,
134,-0.285,-0.02,
135,-0.275,-0.005,
136,-0.265,-0.005,
137,-0.28,-0.015,
138,-0.27,-0.025,
139,-0.285,-0.035,
140,-0.29,-0.015,
141,-0.285,-0.015,
142,-0.265,-0.01,
143,-0.27,-0.015,
144,-0.27,-0.02,
145,-0.285,-0.03,
146,-0.285,-0.04,
147,-0.275,-0.03,
148,-0.265,-0.02,
149,-0.27,-0.02,
150,-0.29,-0.03,
151,-0.285,-0.04,
152,-0.3,-0.03,
153,-0.285,-0.025,
154,-0.275,-0.02,
155,-0.265,-0.03,
156,-0.275,-0.035,
157,-0.295,-0.035,
158,-0.29,-0.035,
159,-0.275,-0.03,
160,-0.27,-0.015,
161,-0.27,-0.025,
162,-0.285,-0.04,
163,-0.295,-0.055,
164,-0.295,-0.03,
165,-0.285,-0.03,
166,-0.285,-0.015,
167,-0.28,-0.03,
168,-0.285,-0.045,
169,-0.295,-0.045,
170,-0.31,-0.04,
171,-0.29,-0.04,
172,-0.275,-0.015,
173,-0.265,-0.03,
174,-0.285,-0.04,
175,-0.3,-0.045,
176,-0.29,-0.03,
177,-0.29,-0.02,
178,-0.28,-0.015,
179,-0.275,-0.03,
180,-0.285,-0.045,
181,-0.295,-0.045,
182,-0.285,-0.03,
183,-0.285,-0.035,
184,-0.285,-0.025,
185,-0.285,-0.035,
186,-0.285,-0.03,
187,-0.29,-0.055,
188,-0.295,-0.04,
189,-0.295,-0.025,
190,-0.27,-0.015,
191,-0.265,-0.015,
192,-0.275,-0.03,
193,-0.285,-0.045,
194,-0.295,-0.04,
195,-0.28,-0.03,
196,-0.27,-0.025,
197,-0.265,-0.03,
198,-0.27,-0.035,
199,-0.285,-0.05,
200,-0.285,-0.055,
201,-0.27,-0.04,
202,-0.26,-0.02,
203,-0.265,-0.025,
204,-0.265,-0.04,
205,-0.305,-0.05,
206,-0.295,-0.03,
207,-0.27,-0.02,
208,-0.27,-0.015,
209,-0.265,-0.015,
210,-0.275,-0.05,
211,-0.29,-0.05,
212,-0.295,-0.025,
213,-0.28,-0.015,
214,-0.265,-0.01,
215,-0.26,-0.02,
216,-0.265,-0.03,
217,-0.295,-0.03,
218,-0.29,-0.03,
219,-0.285,-0.02,
220,-0.28,0.0,
221,-0.245,-0.01,
222,-0.27,-0.025,
223,-0.265,-0.04,
224,-0.27,-0.015,
225,-0.255,-0.01,
226,-0.24,0.005,
227,-0.225,0.01,
228,-0.235,0.005,
229,-0.245,0.0,
230,-0.24,0.01,
231,-0.225,0.035,
232,-0.195,0.035,
233,-0.195,0.02,
234,-0.195,0.025,
235,-0.205,0.01,
236,-0.205,0.035,
237,-0.2,0.045,
238,-0.18,0.055,
239,-0.2,0.05,
240,-0.22,0.025,
241,-0.23,0.02,
242,-0.23,0.02,
243,-0.23,0.015,
244,-0.235,0.025,
245,-0.24,0.015,
246,-0.245,0.005,
247,-0.255,-0.005,
248,-0.26,0.015,
249,-0.245,0.03,
250,-0.23,0.03,
251,-0.24,0.035,
252,-0.245,0.03,
253,-0.265,0.025,
254,-0.24,0.035,
255,-0.225,0.055,
256,-0.225,0.06,
257,-0.22,0.03,
258,-0.225,0.005,
259,-0.26,-0.005,
260,-0.265,-0.005,
261,-0.28,0.005,
262,-0.275,0.02,
263,-0.285,0.005,
264,-0.3,-0.005,
265,-0.29,-0.005,
266,-0.29,-0.015,
267,-0.28,-0.005,
268,-0.26,0.005,
269,-0.26,-0.005,
270,-0.3,-0.02,
271,-0.295,-0.02,
272,-0.305,-0.015,
273,-0.295,-0.005,
