,MLII,V1,symbol
0,0.045,-0.76,
1,0.045,-0.76,
2,0.045,-0.76,
3,0.045,-0.76,
4,0.045,-0.76,
5,0.045,-0.76,
6,0.045,-0.76,
7,0.045,-0.77,
8,0.045,-0.76,
9,0.035,-0.74,
10,0.03,-0.72,
11,0.045,-0.685,
12,0.05,-0.655,
13,0.065,-0.64,
14,0.035,-0.645,
15,0.03,-0.61,
16,0.015,-0.57,
17,0.04,-0.53,
18,0.045,-0.485,
19,0.02,-0.47,
20,0.01,-0.45,
21,-0.02,-0.42,
22,-0.01,-0.395,
23,-0.01,-0.35,
24,-0.015,-0.32,
25,-0.035,-0.295,
26,-0.055,-0.29,
27,-0.07,-0.25,
28,-0.085,-0.225,
29,-0.075,-0.175,
30,-0.075,-0.16,
31,-0.1,-0.145,
32,-0.12,-0.125,
33,-0.135,-0.105,
34,-0.15,-0.08,
35,-0.13,-0.045,
36,-0.13,-0.02,
37,-0.135,-0.01,
38,-0.155,-0.005,
39,-0.17,0.0,
40,-0.175,0.04,
41,-0.165,0.05,
42,-0.16,0.08,
43,-0.175,0.075,
44,-0.205,0.065,
45,-0.2,0.075,
46,-0.195,0.085,
47,-0.205,0.1,
48,-0.19,0.12,
49,-0.195,0.11,
50,-0.21,0.105,
51,-0.21,0.105,
52,-0.205,0.1,
53,-0.19,0.115,
54,-0.175,0.115,
55,-0.19,0.1,
56,-0.195,0.08,
57,-0.205,0.07,
58,-0.2,0.08,
59,-0.185,0.11,
60,-0.17,0.115,
61,-0.155,0.125,
62,-0.185,0.11,
63,-0.195,0.12,
64,-0.205,0.125,
65,-0.185,0.145,
66,-0.175,0.15,
67,-0.18,0.14,
68,-0.19,0.135,
69,-0.22,0.135,
70,-0.2,0.14,
71,-0.18,0.155,
72,-0.185,0.17,
73,-0.18,0.15,
74,-0.195,0.15,
75,-0.22,0.155,
76,-0.2,0.16,
77,-0.175,0.175,
78,-0.175,0.175,
79,-0.185,0.17,
80,-0.2,0.15,
81,-0.215,0.15,
82,-0.225,0.17,
83,-0.21,0.185,
84,-0.195,0.19,
85,-0.2,0.17,
86,-0.215,0.16,
87,-0.235,0.16,
88,-0.235,0.17,
89,-0.22,0.175,
90,-0.225,0.18,
91,-0.215,0.165,
92,-0.23,0.16,
93,-0.24,0.145,
94,-0.245,0.155,
95,-0.23,0.165,
96,-0.21,0.165,
97,-0.215,0.15,
98,-0.22,0.145,
99,-0.235,0.13,
100,-0.22,0.145,
101,-0.205,0.165,
102,-0.215,0.15,+
103,-0.205,0.145,
104,-0.205,0.15,
105,-0.215,0.155,
106,-0.25,0.165,
107,-0.215,0.175,
108,-0.2,0.185,
109,-0.215,0.165,
110,-0.22,0.16,
111,-0.24,0.16,
112,-0.23,0.175,
113,-0.215,0.18,
114,-0.2,0.185,
115,-0.2,0.185,
116,-0.215,0.16,
117,-0.21,0.16,
118,-0.215,0.175,
119,-0.2,0.185,
120,-0.19,0.19,
121,-0.19,0.17,
122,-0.2,0.15,
123,-0.195,0.165,
124,-0.205,0.17,
125,-0.215,0.18,
126,-0.19,0.18,
127,-0.195,0.18,
128,-0.225,0.155,
129,-0.22,0.16,
130,-0.235,0.17,
131,-0.23,0.18,
132,-0.195,0.19,
133,-0.21,0.165,
134,-0.22,0.135,
135,-0.225,0.145,
136,-0.22,0.145,
137,-0.195,0.155,
138,-0.175,0.155,
139,-0.175,0.155,
140,-0.19,0.14,
141,-0.2,0.14,
142,-0.21,0.145,
143,-0.195,0.135,
144,-0.185,0.145,
145,-0.165,0.135,
146,-0.18,0.125,
147,-0.195,0.115,
148,-0.195,0.135,
149,-0.185,0.145,
150,-0.17,0.155,
151,-0.185,0.16,
152,-0.195,0.145,
153,-0.2,0.145,
154,-0.2,0.16,
155,-0.18,0.165,
156,-0.15,0.16,
157,-0.175,0.16,
158,-0.17,0.15,
159,-0.19,0.135,
160,-0.195,0.15,
161,-0.165,0.155,
162,-0.145,0.17,
163,-0.145,0.14,
164,-0.165,0.135,
165,-0.17,0.14,
166,-0.16,0.16,
167,-0.15,0.17,
168,-0.15,0.17,
169,-0.145,0.155,
170,-0.155,0.13,
171,-0.17,0.135,
172,-0.16,0.125,
173,-0.165,0.145,
174,-0.14,0.15,
175,-0.15,0.125,
176,-0.165,0.105,
177,-0.205,0.1,
178,-0.195,0.105,
179,-0.19,0.125,
180,-0.155,0.11,
181,-0.165,0.095,
182,-0.175,0.09,
183,-0.165,0.08,
184,-0.155,0.105,
185,-0.145,0.105,
186,-0.13,0.1,
187,-0.125,0.075,
188,-0.115,0.045,
189,-0.105,0.05,
190,-0.085,0.06,
191,-0.03,0.08,
192,0.045,0.075,
193,0.17,0.065,
194,0.455,0.065,
195,0.905,0.065,
196,1.415,0.07,
197,1.65,0.065,
198,1.52,0.02,
199,1.225,-0.08,
200,1.03,-0.25,
201,0.94,-0.525,
202,0.86,-0.86,
203,0.795,-1.075,
204,0.7,-1.075,
205,0.59,-0.955,/
206,0.45,-0.86,
207,0.35,-0.835,
208,0.25,-0.8,
209,0.145,-0.765,
210,0.035,-0.75,
211,-0.07,-0.755,
212,-0.205,-0.765,
213,-0.33,-0.76,
214,-0.465,-0.755,
215,-0.595,-0.765,
216,-0.75,-0.775,
217,-0.91,-0.79,
218,-1.05,-0.805,
219,-1.185,-0.805,
220,-1.275,-0.805,
221,-1.35,-0.81,
222,-1.42,-0.82,
223,-1.485,-0.835,
224,-1.55,-0.855,
225,-1.6,-0.865,
226,-1.605,-0.89,
227,-1.59,-0.89,
228,-1.55,-0.91,
229,-1.51,-0.94,
230,-1.465,-0.985,
231,-1.42,-1.025,
232,-1.325,-1.06,
233,-1.205,-1.085,
234,-1.07,-1.095,
235,-0.97,-1.11,
236,-0.865,-1.11,
237,-0.78,-1.08,
