,MLII,V1,symbol
0,-0.695,-0.955,
1,-0.695,-0.955,
2,-0.695,-0.955,
3,-0.695,-0.955,
4,-0.695,-0.955,
5,-0.695,-0.955,
6,-0.695,-0.955,
7,-0.695,-0.925,
8,-0.695,-0.905,
9,-0.695,-0.86,
10,-0.7,-0.83,
11,-0.71,-0.81,
12,-0.7,-0.795,
13,-0.7,-0.78,
14,-0.685,-0.78,
15,-0.68,-0.765,
16,-0.67,-0.77,
17,-0.67,-0.75,
18,-0.665,-0.765,
19,-0.665,-0.78,
20,-0.67,-0.76,
21,-0.675,-0.765,
22,-0.68,-0.76,
23,-0.695,-0.745,
24,-0.695,-0.74,
25,-0.695,-0.74,
26,-0.69,-0.73,
27,-0.695,-0.735,
28,-0.705,-0.75,
29,-0.705,-0.75,
30,-0.73,-0.76,
31,-0.745,-0.765,
32,-0.75,-0.765,
33,-0.77,-0.79,
34,-0.765,-0.77,
35,-0.79,-0.775,
36,-0.77,-0.755,
37,-0.78,-0.765,
38,-0.785,-0.77,
39,-0.79,-0.78,
40,-0.8,-0.785,
41,-0.815,-0.795,
42,-0.84,-0.805,
43,-0.86,-0.81,
44,-0.875,-0.825,
45,-0.895,-0.825,
46,-0.905,-0.825,
47,-0.885,-0.82,
48,-0.885,-0.81,
49,-0.87,-0.795,
50,-0.86,-0.79,
51,-0.855,-0.795,
52,-0.865,-0.81,
53,-0.875,-0.815,
54,-0.89,-0.83,
55,-0.91,-0.84,
56,-0.925,-0.855,
57,-0.94,-0.86,
58,-0.94,-0.85,
59,-0.95,-0.855,
60,-0.955,-0.85,
61,-0.965,-0.85,
62,-0.98,-0.835,
63,-0.975,-0.845,
64,-0.985,-0.86,
65,-1.005,-0.86,
66,-1.025,-0.89,
67,-1.04,-0.9,
68,-1.045,-0.915,
69,-1.065,-0.94,
70,-1.08,-0.935,
71,-1.1,-0.95,
72,-1.105,-0.94,
73,-1.12,-0.96,
74,-1.115,-0.97,
75,-1.115,-0.975,
76,-1.135,-1.005,
77,-1.145,-1.015,
78,-1.165,-1.025,
79,-1.165,-1.045,
80,-1.17,-1.065,
81,-1.175,-1.08,
82,-1.14,-1.075,
83,-1.125,-1.07,
84,-1.09,-1.075,
85,-1.075,-1.06,
86,-1.04,-1.06,
87,-1.01,-1.055,
88,-1.0,-1.045,
89,-0.96,-1.035,
90,-0.935,-1.025,
91,-0.92,-1.015,
92,-0.895,-1.005,
93,-0.865,-1.0,
94,-0.84,-0.975,
95,-0.83,-0.965,
96,-0.8,-0.945,
97,-0.765,-0.92,
98,-0.735,-0.9,
99,-0.695,-0.885,
100,-0.68,-0.885,
101,-0.66,-0.86,
102,-0.65,-0.87,
103,-0.655,-0.87,
104,-0.625,-0.86,
105,-0.62,-0.865,
106,-0.615,-0.85,
107,-0.62,-0.84,
108,-0.61,-0.835,
109,-0.605,-0.83,
110,-0.595,-0.83,
111,-0.595,-0.825,
112,-0.59,-0.83,
113,-0.59,-0.84,
114,-0.615,-0.84,
115,-0.62,-0.86,
116,-0.625,-0.86,
117,-0.625,-0.85,
118,-0.615,-0.855,
119,-0.625,-0.86,
120,-0.62,-0.84,
121,-0.61,-0.835,
122,-0.615,-0.83,
123,-0.595,-0.82,
124,-0.6,-0.835,
125,-0.6,-0.825,
126,-0.61,-0.84,
127,-0.6,-0.84,
128,-0.605,-0.84,
129,-0.6,-0.845,
130,-0.605,-0.825,
131,-0.585,-0.83,
132,-0.575,-0.82,
133,-0.56,-0.795,
134,-0.56,-0.785,
135,-0.545,-0.78,
136,-0.555,-0.785,
137,-0.565,-0.775,
138,-0.57,-0.78,
139,-0.565,-0.795,
140,-0.555,-0.805,
141,-0.56,-0.795,
142,-0.555,-0.79,
143,-0.545,-0.795,
144,-0.55,-0.78,
145,-0.545,-0.77,
146,-0.54,-0.76,
147,-0.525,-0.755,
148,-0.53,-0.765,
149,-0.52,-0.765,
150,-0.505,-0.77,
151,-0.52,-0.78,
152,-0.535,-0.785,
